0,Charlotte Gainsbourg,0.520049688,Not available
1,Greis,0.39437572,Not available
2,Britney Spears,0.60725728,"Kentwood, LA; Los Angeles, CA"
3,Mouth Of The Architect,0.469055976,"Dayton, OH"
4,Gertrudis,0.344814469,Not available
5,Gabriel Yared,0.399042081,"Beirut, Lebanon"
6,Planet P Project,0.332275747,Not available
7,Miossec,0.357663448,"Brest, France"
8,Swami,0.380756416,"Birmingham/ London, UK"
9,Spliff,0.358685666,Not available
10,Marlene Dietrich,0.416503946,"Schi?1/2erg, Germany"
11,Danilo Perez,0.3228233,Panama
12,Shunza,0.0,Not available
13,Gran Coquivacoa,0.366527802,Not available
14,DMX / Dyme,0.508813195,Not available
15,The Ataris,0.517328584,"Anderson, IN"
16,Johann KAPhnich,0.31843689,Not available
17,Sister Hazel,0.509878708,"Gainesville, FL"
18,Molesta Ewenement,0.4895687,Warszawa
19,[kaleidoskop],0.311059225,Not available
20,Lesley Gore,0.389100776,"New York, NY"
21,Special Duties,0.332837725,Not available
22,The Panic Channel,0.340915136,Not available
23,Fall Out Boy,0.566622888,"Wilmette, IL"
24,Juliette & The Licks,0.455915629,Not available
25,J.J. Cale,0.435468899,"Oklahoma City, OK"
26,The Mad Capsule Markets,0.437050558,JP
27,Emilio,0.360829937,"SAN ANTONIO, Texas"
28,Jay PA(c)rez,0.386237683,Not available
29,Orquesta AragA3n,0.332930951,Cuba
30,Yolandita Monge,0.347217816,Not available
31,Paul Overman,0.0,Not available
32,Billie Ray Martin Feat. Ann Peebles,0.39605043,"Hamburg, Germany"
33,Eyehategod,0.390361787,Not available
34,Harald Kloser / Thomas Wander / Thomas Schobel,0.355625946,Not available
35,Donna Fargo,0.402627793,"Mount Airy, NC"
36,Julien Clerc,0.364384925,FR
37,Happy Mondays,0.424108277,"Manchester, England"
38,Johnny Horton,0.438168226,"Los Angeles, CA"
39,Ned Miller,0.310731085,"Raines, UT"
40,The Shangri-Las,0.418216518,"Queens, NY"
41,Ini Kamoze,0.434930158,Not available
42,Messy Marv,0.45222994,California - SF
43,Sofi Marinova,0.385285643,Not available
44,Fun Lovin' Criminals,0.484876719,Not available
45,Johnny Osbourne,0.409134869,Not available
46,Olga TaA+-A3n,0.43929204,Not available
47,John Holt,0.424791236,"Kingston, Jamaica"
48,La Portuaria,0.30571906,Not available
49,Emit,0.384730303,Oklahoma
50,Five Blind Boys of Alabama,0.424271114,"Talladega, AL"
51,Hot Chip,0.535763158,London
52,Scott Weiland,0.430321318,"Santa Cruz, CA"
53,Daryl Coley,0.325831241,"San Francisco, CA"
54,Los Solitarios,0.29911258,Not available
55,Los AutA(c)nticos Decadentes,0.407821565,Not available
56,The Rolling Stones,0.776037656,"London, England"
57,Les Hurlements D'leo,0.425728131,Not available
58,Jean Fauque,0.35471662,Not available
59,Nazz,0.384146444,Not available
60,Les Sexareenos,0.344171478,Not available
